"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2020","3.8994","3.9483","3.9748","3.8989","","-1.11%"
"06/12/2020","3.9433","3.9590","3.9773","3.9212","","-0.27%"
"06/11/2020","3.9538","3.9166","3.9669","3.9048","","1.13%"
"06/10/2020","3.9098","3.9188","3.9378","3.8915","","-0.17%"
"06/09/2020","3.9165","3.9157","3.9558","3.9076","","0.09%"
"06/08/2020","3.9129","3.9290","3.9458","3.9095","","-0.30%"
"06/05/2020","3.9248","3.9138","3.9402","3.8900","","0.37%"
"06/04/2020","3.9103","3.9253","3.9799","3.8877","","-0.28%"
"06/03/2020","3.9213","3.9259","3.9488","3.8951","","-0.08%"
"06/02/2020","3.9245","3.9548","3.9673","3.9174","","-0.68%"
"06/01/2020","3.9513","4.0068","4.0071","3.9500","","-1.30%"
"05/29/2020","4.0034","4.0215","4.0273","3.9873","","-0.42%"
"05/28/2020","4.0203","4.0225","4.0395","4.0033","","-0.03%"
"05/27/2020","4.0217","4.0455","4.0588","4.0160","","-0.49%"
"05/26/2020","4.0417","4.1301","4.1352","4.0281","","-2.09%"
"05/25/2020","4.1280","4.1389","4.1550","4.1241","","-0.18%"
"05/22/2020","4.1354","4.1212","4.1537","4.1190","","0.40%"
"05/21/2020","4.1190","4.1302","4.1435","4.1077","","-0.23%"
"05/20/2020","4.1286","4.1648","4.1700","4.1190","","-0.81%"
"05/19/2020","4.1623","4.1802","4.1873","4.1468","","-0.35%"
"05/18/2020","4.1769","4.2231","4.2294","4.1761","","-0.96%"
"05/15/2020","4.2173","4.2203","4.2332","4.2055","","-0.01%"
"05/14/2020","4.2178","4.2219","4.2427","4.2155","","-0.01%"
"05/13/2020","4.2182","4.2084","4.2270","4.1901","","0.30%"
"05/12/2020","4.2057","4.2176","4.2308","4.1828","","-0.21%"
"05/11/2020","4.2145","4.2003","4.2248","4.1872","","0.55%"
"05/08/2020","4.1913","4.2062","4.2142","4.1798","","-0.29%"
"05/07/2020","4.2035","4.2136","4.2365","4.2010","","-0.19%"
"05/06/2020","4.2113","4.1851","4.2222","4.1780","","0.67%"
"05/05/2020","4.1832","4.1711","4.2017","4.1582","","0.30%"
"05/04/2020","4.1705","4.1581","4.1886","4.1554","","0.46%"
"05/01/2020","4.1516","4.1522","4.1657","4.1371","","0.06%"
"04/30/2020","4.1493","4.1816","4.1934","4.1371","","-0.64%"
"04/29/2020","4.1759","4.2062","4.2074","4.1740","","-0.68%"
"04/28/2020","4.2047","4.1881","4.2070","4.1688","","0.43%"
"04/27/2020","4.1865","4.1899","4.1999","4.1617","","0.09%"
"04/24/2020","4.1828","4.2142","4.2329","4.1828","","-0.69%"
"04/23/2020","4.2120","4.2025","4.2242","4.1874","","0.33%"
"04/22/2020","4.1982","4.1761","4.2175","4.1624","","0.61%"
"04/21/2020","4.1726","4.1637","4.1929","4.1583","","0.29%"
"04/20/2020","4.1604","4.1575","4.1781","4.1439","","0.30%"
"04/17/2020","4.1481","4.1935","4.1970","4.1481","","-1.01%"
"04/16/2020","4.1906","4.1582","4.2069","4.1539","","0.85%"
"04/15/2020","4.1553","4.1150","4.1848","4.1083","","1.10%"
"04/14/2020","4.1102","4.1796","4.1844","4.1105","","-1.61%"
"04/13/2020","4.1773","4.1625","4.2003","4.1515","","0.47%"
"04/10/2020","4.1577","4.1600","4.1696","4.1465","","0.01%"
"04/09/2020","4.1574","4.1736","4.1982","4.1492","","-0.34%"
"04/08/2020","4.1715","4.1564","4.1919","4.1494","","0.48%"
"04/07/2020","4.1515","4.2273","4.2329","4.1380","","-1.66%"
"04/06/2020","4.2217","4.2389","4.2513","4.1963","","-0.36%"
"04/03/2020","4.2370","4.2126","4.2529","4.2017","","0.78%"
"04/02/2020","4.2041","4.1993","4.2295","4.1778","","0.21%"
"04/01/2020","4.1953","4.1311","4.2148","4.1271","","1.52%"
"03/31/2020","4.1323","4.1090","4.1637","4.1075","","0.61%"
"03/30/2020","4.1073","4.0736","4.1430","4.0705","","0.85%"
"03/27/2020","4.0727","4.0938","4.1330","4.0654","","-0.50%"
"03/26/2020","4.0932","4.1953","4.2077","4.0788","","-2.43%"
"03/25/2020","4.1950","4.2673","4.2805","4.1771","","-1.66%"
"03/24/2020","4.2657","4.2969","4.3050","4.2189","","-0.69%"
"03/23/2020","4.2952","4.2425","4.3095","4.2211","","1.22%"
"03/20/2020","4.2436","4.2828","4.2978","4.1686","","-0.91%"
"03/19/2020","4.2824","4.1255","4.3011","4.0880","","3.84%"
"03/18/2020","4.1240","4.0649","4.2026","4.0393","","1.47%"
"03/17/2020","4.0643","3.9788","4.0896","3.9682","","2.19%"
"03/16/2020","3.9772","3.9406","3.9905","3.9039","","0.94%"
"03/13/2020","3.9400","3.9144","3.9636","3.8851","","0.67%"
"03/12/2020","3.9139","3.8394","3.9666","3.8207","","2.04%"
"03/11/2020","3.8356","3.8225","3.8428","3.7929","","0.41%"
"03/10/2020","3.8200","3.7782","3.8273","3.7696","","1.11%"
"03/09/2020","3.7779","3.8084","3.8084","3.7561","","-0.77%"
"03/06/2020","3.8071","3.8319","3.8450","3.7812","","-0.60%"
"03/05/2020","3.8302","3.8512","3.8630","3.8263","","-0.48%"
"03/04/2020","3.8487","3.8549","3.8724","3.8358","","-0.16%"
"03/03/2020","3.8547","3.8761","3.8933","3.8368","","-0.53%"
"03/02/2020","3.8751","3.9254","3.9272","3.8623","","-1.25%"
"02/28/2020","3.9243","3.9298","3.9555","3.9192","","-0.10%"
"02/27/2020","3.9282","3.9654","3.9694","3.9260","","-0.95%"
"02/26/2020","3.9660","3.9576","3.9723","3.9502","","0.25%"
"02/25/2020","3.9563","3.9666","3.9746","3.9488","","-0.21%"
"02/24/2020","3.9648","3.9532","3.9836","3.9523","","0.32%"
"02/21/2020","3.9523","3.9678","3.9732","3.9453","","-0.34%"
"02/20/2020","3.9657","3.9504","3.9723","3.9446","","0.46%"
"02/19/2020","3.9475","3.9551","3.9634","3.9466","","-0.15%"
"02/18/2020","3.9536","3.9305","3.9616","3.9283","","0.61%"
"02/17/2020","3.9295","3.9228","3.9377","3.9155","","0.16%"
"02/14/2020","3.9233","3.9167","3.9264","3.9068","","0.23%"
"02/13/2020","3.9144","3.9104","3.9260","3.9065","","0.13%"
"02/12/2020","3.9092","3.8990","3.9148","3.8942","","0.29%"
"02/11/2020","3.8979","3.9093","3.9126","3.8902","","-0.27%"
"02/10/2020","3.9084","3.9007","3.9169","3.8905","","0.19%"
"02/07/2020","3.9011","3.8781","3.9093","3.8758","","0.62%"
"02/06/2020","3.8770","3.8592","3.8843","3.8553","","0.48%"
"02/05/2020","3.8584","3.8710","3.8780","3.8495","","-0.30%"
"02/04/2020","3.8702","3.8859","3.8923","3.8657","","-0.38%"
"02/03/2020","3.8849","3.8755","3.8930","3.8716","","0.36%"
"01/31/2020","3.8708","3.8926","3.9045","3.8714","","-0.52%"
"01/30/2020","3.8910","3.8928","3.8955","3.8829","","-0.02%"
